# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
MTIF2	MTIF2	NM_002453.3	NP_002444.2
CCDC88A	CCDC88A	NM_001365480.1	NP_001352409.1
CFAP36	CFAP36	NM_080667.7	NP_542398.3
PPP4R3B	PPP4R3B	NM_001122964.3	NP_001116436.3
PNPT1	PNPT1	NM_033109.5	NP_149100.2
EFEMP1	EFEMP1	NM_001039348.3	NP_001034437.1
CCDC85A	CCDC85A	NM_001080433.2	NP_001073902.1
VRK2	VRK2	NM_006296.7	NP_006287.2
FANCL	FANCL	NM_018062.4	NP_060532.2
BCL11A	BCL11A	NM_022893.4	NP_075044.2
PAPOLG	PAPOLG	NM_022894.4	NP_075045.2
REL	REL	NM_001291746.2	NP_001278675.1
PUS10	PUS10	NM_144709.4	NP_653310.2
PEX13	PEX13	NM_002618.4	NP_002609.1
SANBR	SANBR	NM_001129993.3	NP_001123465.1
C2orf74	C2orf74	NM_001143959.4	NP_001137431.2
USP34	USP34	NM_014709.4	NP_055524.3
XPO1	XPO1	NM_003400.4	NP_003391.1
FAM161A	FAM161A	NM_001201543.2	NP_001188472.1
CCT4	CCT4	NM_006430.4	NP_006421.2
COMMD1	COMMD1	NM_152516.4	NP_689729.1
B3GNT2	B3GNT2	NM_006577.6	NP_006568.2
TMEM17	TMEM17	NM_198276.3	NP_938017.2
EHBP1	EHBP1	NM_001142616.3	NP_001136088.1
OTX1	OTX1	NM_014562.4	NP_055377.1
WDPCP	WDPCP	NM_015910.7	NP_056994.3
MDH1	MDH1	NM_005917.4	NP_005908.1
UGP2	UGP2	NM_006759.4	NP_006750.3
VPS54	VPS54	NM_016516.3	NP_057600.2
PELI1	PELI1	NM_020651.4	NP_065702.2
LGALSL	LGALSL	NM_014181.3	NP_054900.2
AFTPH	AFTPH	NM_203437.4	NP_982261.2
SERTAD2	SERTAD2	NM_014755.3	NP_055570.1
SLC1A4	SLC1A4	NM_003038.5	NP_003029.2
CEP68	CEP68	NM_015147.3	NP_055962.2
RAB1A	RAB1A	NM_004161.5	NP_004152.1
ACTR2	ACTR2	NM_005722.4	NP_005713.1
SPRED2	SPRED2	NM_181784.3	NP_861449.2
MEIS1	MEIS1	NM_002398.3	NP_002389.1
ETAA1	ETAA1	NM_019002.4	NP_061875.2
C1D	C1D	NM_173177.3	NP_775269.1
DNAAF10	DNAAF10	NM_138458.4	NP_612467.1
PNO1	PNO1	NM_020143.4	NP_064528.1
PPP3R1	PPP3R1	NM_000945.4	NP_000936.1
CNRIP1	CNRIP1	NM_015463.3	NP_056278.1
PLEK	PLEK	NM_002664.3	NP_002655.2
FBXO48	FBXO48	NM_001024680.3	NP_001019851.1
APLF	APLF	NM_173545.3	NP_775816.1
PROKR1	PROKR1	NM_138964.4	NP_620414.1
ARHGAP25	ARHGAP25	NM_001007231.3	NP_001007232.2
BMP10	BMP10	NM_014482.3	NP_055297.1
GKN2	GKN2	NM_182536.3	NP_872342.2
GKN1	GKN1	NM_019617.4	NP_062563.4
ANTXR1	ANTXR1	NM_032208.3	NP_115584.1
GFPT1	GFPT1	NM_001244710.2	NP_001231639.1
NFU1	NFU1	NM_001002755.4	NP_001002755.1
AAK1	AAK1	NM_014911.5	NP_055726.4
ANXA4	ANXA4	NM_001153.5	NP_001144.1
GMCL1	GMCL1	NM_178439.5	NP_848526.1
SNRNP27	SNRNP27	NM_006857.3	NP_006848.1
MXD1	MXD1	NM_002357.4	NP_002348.1
ASPRV1	ASPRV1	NM_152792.4	NP_690005.3
PCBP1	PCBP1	NM_006196.4	NP_006187.2
C2orf42	C2orf42	NM_017880.3	NP_060350.1
TIA1	TIA1	NM_022173.4	NP_071505.2
PCYOX1	PCYOX1	NM_016297.4	NP_057381.3
SNRPG	SNRPG	NM_003096.4	NP_003087.1
FAM136A	FAM136A	NM_001329752.2	NP_001316681.1
TGFA	TGFA	NM_003236.4	NP_003227.1
ADD2	ADD2	NM_001617.4	NP_001608.1
FIGLA	FIGLA	NM_001004311.3	NP_001004311.2
CLEC4F	CLEC4F	NM_173535.3	NP_775806.2
CD207	CD207	NM_015717.5	NP_056532.4
VAX2	VAX2	NM_012476.3	NP_036608.1
ATP6V1B1	ATP6V1B1	NM_001692.4	NP_001683.2
ANKRD53	ANKRD53	NM_001115116.2	NP_001108588.1
TEX261	TEX261	NM_144582.3	NP_653183.2
NAGK	NAGK	NM_017567.6	NP_060037.4
MCEE	MCEE	NM_032601.4	NP_115990.3
MPHOSPH10	MPHOSPH10	NM_005791.3	NP_005782.1
PAIP2B	PAIP2B	NM_020459.1	NP_065192.1
ZNF638	ZNF638	NM_014497.5	NP_055312.2
DYSF	DYSF	NM_003494.4	NP_003485.1
DYSF	DYSF	NM_001130987.2	NP_001124459.1
CYP26B1	CYP26B1	NM_019885.4	NP_063938.1
EXOC6B	EXOC6B	NM_015189.3	NP_056004.1
SPR	SPR	NM_003124.5	NP_003115.1
EMX1	EMX1	NM_004097.3	NP_004088.2
SFXN5	SFXN5	NM_144579.3	NP_653180.1
RAB11FIP5	RAB11FIP5	NM_001371272.1	NP_001358201.1
NOTO	NOTO	NM_001134462.2	NP_001127934.1
SMYD5	SMYD5	NM_006062.3	NP_006053.2
PRADC1	PRADC1	NM_032319.3	NP_115695.1
CCT7	CCT7	NM_006429.4	NP_006420.1
FBXO41	FBXO41	NM_001371389.2	NP_001358318.1
EGR4	EGR4	NM_001965.4	NP_001956.4
ALMS1	ALMS1	NM_001378454.1	NP_001365383.1
NAT8	NAT8	NM_003960.4	NP_003951.3
TPRKB	TPRKB	NM_016058.5	NP_057142.1
DUSP11	DUSP11	NM_003584.3	NP_003575.3
C2orf78	C2orf78	NM_001080474.3	NP_001073943.1
STAMBP	STAMBP	NM_213622.4	NP_998787.1
ACTG2	ACTG2	NM_001615.4	NP_001606.1
DGUOK	DGUOK	NM_080916.3	NP_550438.1
TET3	TET3	NM_001287491.2	NP_001274420.1
BOLA3	BOLA3	NM_212552.3	NP_997717.2
MOB1A	MOB1A	NM_018221.5	NP_060691.2
MTHFD2	MTHFD2	NM_006636.4	NP_006627.2
SLC4A5	SLC4A5	NM_133478.3	NP_597812.1
DCTN1	DCTN1	NM_004082.5	NP_004073.2
C2orf81	C2orf81	NM_001316764.3	NP_001303693.1
WDR54	WDR54	NM_032118.4	NP_115494.1
RTKN	RTKN	NM_001015055.2	NP_001015055.1
INO80B	INO80B	NM_031288.4	NP_112578.2
WBP1	WBP1	NM_012477.4	NP_036609.1
MOGS	MOGS	NM_006302.3	NP_006293.2
MRPL53	MRPL53	NM_053050.5	NP_444278.1
CCDC142	CCDC142	NM_001365575.2	NP_001352504.1
TTC31	TTC31	NM_022492.6	NP_071937.4
LBX2	LBX2	NM_001282430.2	NP_001269359.1
PCGF1	PCGF1	NM_032673.3	NP_116062.2
TLX2	TLX2	NM_016170.5	NP_057254.1
DQX1	DQX1	NM_133637.3	NP_598376.2
AUP1	AUP1	NM_181575.5	NP_853553.1
HTRA2	HTRA2	NM_013247.5	NP_037379.1
LOXL3	LOXL3	NM_032603.5	NP_115992.1
DOK1	DOK1	NM_001381.5	NP_001372.1
M1AP	M1AP	NM_001321739.2	NP_001308668.1
SEMA4F	SEMA4F	NM_004263.5	NP_004254.2
HK2	HK2	NM_000189.5	NP_000180.2
POLE4	POLE4	NM_019896.4	NP_063949.2
TACR1	TACR1	NM_001058.4	NP_001049.1
EVA1A	EVA1A	NM_001135032.2	NP_001128504.1
MRPL19	MRPL19	NM_014763.4	NP_055578.2
GCFC2	GCFC2	NM_003203.5	NP_003194.3
LRRTM4	LRRTM4	NM_001134745.3	NP_001128217.1
REG3G	REG3G	NM_001008387.3	NP_001008388.1
REG1B	REG1B	NM_006507.4	NP_006498.1
REG1A	REG1A	NM_002909.5	NP_002900.2
REG3A	REG3A	NM_002580.3	NP_002571.1
CTNNA2	CTNNA2	NM_001282597.3	NP_001269526.1
LRRTM1	LRRTM1	NM_178839.5	NP_849161.2
SUCLG1	SUCLG1	NM_003849.4	NP_003840.2
DNAH6	DNAH6	NM_001370.2	NP_001361.1
TRABD2A	TRABD2A	NM_001277053.2	NP_001263982.1
TMSB10	TMSB10	NM_021103.4	NP_066926.1
KCMF1	KCMF1	NM_020122.5	NP_064507.3
TCF7L1	TCF7L1	NM_031283.3	NP_112573.1
TGOLN2	TGOLN2	NM_006464.4	NP_006455.2
RETSAT	RETSAT	NM_017750.4	NP_060220.3
ELMOD3	ELMOD3	NM_001135022.2	NP_001128494.1
CAPG	CAPG	NM_001747.4	NP_001738.2
SH2D6	SH2D6	NM_001394463.1	NP_001381392.1
MAT2A	MAT2A	NM_005911.6	NP_005902.1
GGCX	GGCX	NM_000821.7	NP_000812.2
VAMP8	VAMP8	NM_003761.5	NP_003752.2
VAMP5	VAMP5	NM_006634.3	NP_006625.1
RNF181	RNF181	NM_016494.4	NP_057578.1
TMEM150A	TMEM150A	NM_001031738.3	NP_001026908.1
USP39	USP39	NM_006590.4	NP_006581.2
C2orf68	C2orf68	NM_001013649.4	NP_001013671.2
SFTPB	SFTPB	NM_000542.5	NP_000533.4
GNLY	GNLY	NM_006433.5	NP_006424.2
ATOH8	ATOH8	NM_032827.7	NP_116216.2
ST3GAL5	ST3GAL5	NM_003896.4	NP_003887.3
POLR1A	POLR1A	NM_015425.6	NP_056240.2
PTCD3	PTCD3	NM_017952.6	NP_060422.4
IMMT	IMMT	NM_006839.3	NP_006830.2
MRPL35	MRPL35	NM_016622.4	NP_057706.2
REEP1	REEP1	NM_001371279.1	NP_001358208.1
KDM3A	KDM3A	NM_018433.6	NP_060903.2
CHMP3	CHMP3	NM_016079.4	NP_057163.1
RNF103	RNF103	NM_005667.4	NP_005658.1
RMND5A	RMND5A	NM_022780.4	NP_073617.1
CD8A	CD8A	NM_001768.7	NP_001759.3
CD8B	CD8B	NM_004931.5	NP_004922.1
RGPD1	RGPD1	NM_001382344.1	NP_001369273.1
PLGLB1	PLGLB1	NM_001032392.4	NP_001027564.1
PLGLB2	PLGLB2	NM_002665.4	NP_002656.1
RGPD2	RGPD2	NM_001078170.3	NP_001071638.2
KRCC1	KRCC1	NM_016618.3	NP_057702.1
SMYD1	SMYD1	NM_198274.4	NP_938015.1
FABP1	FABP1	NM_001443.3	NP_001434.1
THNSL2	THNSL2	NM_018271.5	NP_060741.3
FOXI3	FOXI3	NM_001135649.3	NP_001129121.1
TEX37	TEX37	NM_152670.3	NP_689883.1
EIF2AK3	EIF2AK3	NM_004836.7	NP_004827.4
RPIA	RPIA	NM_144563.3	NP_653164.2
AQP7B	AQP7B	NM_001382497.1	NP_001369426.1
TEKT4	TEKT4	NM_144705.4	NP_653306.1
MAL	MAL	NM_002371.4	NP_002362.1
MRPS5	MRPS5	NM_031902.5	NP_114108.1
ZNF514	ZNF514	NM_032788.3	NP_116177.1
ZNF2	ZNF2	NM_021088.4	NP_066574.2
ZNF892	ZNF892	NM_001395961.1	NP_001382890.1
PROM2	PROM2	NM_001165978.3	NP_001159450.1
KCNIP3	KCNIP3	NM_013434.5	NP_038462.1
FAHD2A	FAHD2A	NM_016044.3	NP_057128.2
TRIM43B	TRIM43B	NM_001164464.2	NP_001157936.1
TRIM43	TRIM43	NM_138800.3	NP_620155.1
ANKRD36C	ANKRD36C	NM_001393982.1	NP_001380911.1
GPAT2	GPAT2	NM_001321527.2	NP_001308456.1
ADRA2B	ADRA2B	NM_000682.7	NP_000673.2
ASTL	ASTL	NM_001002036.4	NP_001002036.3
DUSP2	DUSP2	NM_004418.4	NP_004409.1
STARD7	STARD7	NM_020151.4	NP_064536.2
TMEM127	TMEM127	NM_017849.4	NP_060319.1
CIAO1	CIAO1	NM_004804.3	NP_004795.1
SNRNP200	SNRNP200	NM_014014.5	NP_054733.2
ITPRIPL1	ITPRIPL1	NM_001008949.3	NP_001008949.1
NCAPH	NCAPH	NM_015341.5	NP_056156.2
NEURL3	NEURL3	NM_001285485.2	NP_001272414.1
ARID5A	ARID5A	NM_212481.3	NP_997646.1
KANSL3	KANSL3	NM_001115016.3	NP_001108488.1
FER1L5	FER1L5	NM_001293083.2	NP_001280012.1
LMAN2L	LMAN2L	NM_030805.4	NP_110432.1
CNNM4	CNNM4	NM_020184.4	NP_064569.3
CNNM3	CNNM3	NM_017623.5	NP_060093.3
ANKRD23	ANKRD23	NM_144994.8	NP_659431.5
ANKRD39	ANKRD39	NM_016466.6	NP_057550.3
SEMA4C	SEMA4C	NM_017789.5	NP_060259.4
FAM178B	FAM178B	NM_001122646.3	NP_001116118.2
FAHD2B	FAHD2B	NM_001320848.2	NP_001307777.1
ANKRD36	ANKRD36	NM_001354587.1	NP_001341516.1
ANKRD36B	ANKRD36B	NM_001393939.1	NP_001380868.1
COX5B	COX5B	NM_001862.3	NP_001853.2
ACTR1B	ACTR1B	NM_005735.4	NP_005726.1
C2orf92	C2orf92	NM_001351368.2	NP_001338297.1
ZAP70	ZAP70	NM_001079.4	NP_001070.2
TMEM131	TMEM131	NM_015348.2	NP_056163.1
VWA3B	VWA3B	NM_144992.5	NP_659429.4
CNGA3	CNGA3	NM_001298.3	NP_001289.1
INPP4A	INPP4A	NM_001134225.2	NP_001127697.1
COA5	COA5	NM_001008215.3	NP_001008216.1
UNC50	UNC50	NM_014044.7	NP_054763.2
MGAT4A	MGAT4A	NM_012214.3	NP_036346.1
CRACDL	CRACDL	NM_207362.3	NP_997245.2
TSGA10	TSGA10	NM_025244.4	NP_079520.1
C2orf15	C2orf15	NM_144706.4	NP_653307.2
LIPT1	LIPT1	NM_145199.3	NP_660200.1
MITD1	MITD1	NM_138798.3	NP_620153.1
MRPL30	MRPL30	NM_145212.4	NP_660213.1
LYG2	LYG2	NM_175735.4	NP_783862.2
LYG1	LYG1	NM_174898.3	NP_777558.1
TXNDC9	TXNDC9	NM_005783.4	NP_005774.2
EIF5B	EIF5B	NM_015904.4	NP_056988.3
REV1	REV1	NM_016316.4	NP_057400.1
AFF3	AFF3	NM_001386135.1	NP_001373064.1
LONRF2	LONRF2	NM_198461.4	NP_940863.3
CHST10	CHST10	NM_004854.5	NP_004845.1
NMS	NMS	NM_001011717.1	NP_001011717.1
PDCL3	PDCL3	NM_024065.5	NP_076970.1
NPAS2	NPAS2	NM_002518.4	NP_002509.2
RPL31	RPL31	NM_000993.5	NP_000984.1
TBC1D8	TBC1D8	NM_001330348.2	NP_001317277.1
CNOT11	CNOT11	NM_017546.5	NP_060016.3
RNF149	RNF149	NM_173647.4	NP_775918.2
CREG2	CREG2	NM_153836.4	NP_722578.1
RFX8	RFX8	NM_001145664.2	NP_001139136.2
MAP4K4	MAP4K4	NM_001395002.1	NP_001381931.1
IL1R2	IL1R2	NM_004633.4	NP_004624.1
IL1R1	IL1R1	NM_000877.4	NP_000868.1
IL1RL2	IL1RL2	NM_003854.4	NP_003845.2
IL1RL1	IL1RL1	NM_016232.5	NP_057316.3
IL18R1	IL18R1	NM_003855.5	NP_003846.1
IL18RAP	IL18RAP	NM_001393487.1	NP_001380416.1
SLC9A4	SLC9A4	NM_001011552.4	NP_001011552.2
SLC9A2	SLC9A2	NM_003048.6	NP_003039.2
MFSD9	MFSD9	NM_032718.5	NP_116107.3
TMEM182	TMEM182	NM_144632.5	NP_653233.5
POU3F3	POU3F3	NM_006236.3	NP_006227.1
MRPS9	MRPS9	NM_182640.3	NP_872578.1
GPR45	GPR45	NM_007227.3	NP_009158.3
TGFBRAP1	TGFBRAP1	NM_004257.6	NP_004248.2
C2orf49	C2orf49	NM_024093.3	NP_076998.1
FHL2	FHL2	NM_001318895.3	NP_001305824.1
NCK2	NCK2	NM_003581.5	NP_003572.2
ECRG4	ECRG4	NM_032411.3	NP_115787.1
UXS1	UXS1	NM_001253875.2	NP_001240804.1
RGPD3	RGPD3	NM_001144013.2	NP_001137485.1
CD8B2	CD8B2	NM_001349727.2	NP_001336656.1
ST6GAL2	ST6GAL2	NM_001142351.2	NP_001135823.1
RGPD4	RGPD4	NM_182588.3	NP_872394.2
SLC5A7	SLC5A7	NM_021815.5	NP_068587.1
SULT1C3	SULT1C3	NM_001320878.2	NP_001307807.1
SULT1C2	SULT1C2	NM_001056.4	NP_001047.1
SULT1C4	SULT1C4	NM_006588.4	NP_006579.2
GCC2	GCC2	NM_181453.4	NP_852118.2
LIMS1	LIMS1	NM_001193483.3	NP_001180412.1
RANBP2	RANBP2	NM_006267.5	NP_006258.3
CCDC138	CCDC138	NM_144978.3	NP_659415.1
EDAR	EDAR	NM_022336.4	NP_071731.1
SH3RF3	SH3RF3	NM_001099289.3	NP_001092759.1
SEPTIN10	SEPTIN10	NM_144710.5	NP_653311.1
SOWAHC	SOWAHC	NM_023016.4	NP_075392.2
RGPD5	RGPD5	NM_005054.3	NP_005045.2
LIMS3	LIMS3	NM_001394901.1	NP_001381830.1
MALL	MALL	NM_005434.5	NP_005425.1
NPHP1	NPHP1	NM_001128178.3	NP_001121650.1
MTLN	MTLN	NM_001384134.1	NP_001371063.1
LIMS4	LIMS4	NM_001371340.3	NP_001358269.1
RGPD6	RGPD6	NM_001123363.4	NP_001116835.1
BUB1	BUB1	NM_004336.5	NP_004327.1
ACOXL	ACOXL	NM_001142807.4	NP_001136279.1
BCL2L11	BCL2L11	NM_138621.5	NP_619527.1
ANAPC1	ANAPC1	NM_022662.4	NP_073153.1
MERTK	MERTK	NM_006343.3	NP_006334.2
TMEM87B	TMEM87B	NM_032824.3	NP_116213.1
FBLN7	FBLN7	NM_153214.3	NP_694946.2
ZC3H8	ZC3H8	NM_032494.3	NP_115883.2
ZC3H6	ZC3H6	NM_198581.3	NP_940983.2
RGPD8	RGPD8	NM_001164463.1	NP_001157935.1
TTL	TTL	NM_153712.5	NP_714923.1
POLR1B	POLR1B	NM_019014.6	NP_061887.2
CHCHD5	CHCHD5	NM_032309.4	NP_115685.1
SLC20A1	SLC20A1	NM_005415.5	NP_005406.3
NT5DC4	NT5DC4	NM_001393655.1	NP_001380584.1
CKAP2L	CKAP2L	NM_152515.5	NP_689728.3
IL1A	IL1A	NM_000575.5	NP_000566.3
IL1B	IL1B	NM_000576.3	NP_000567.1
IL37	IL37	NM_014439.4	NP_055254.2
IL36G	IL36G	NM_019618.4	NP_062564.1
IL36A	IL36A	NM_014440.3	NP_055255.1
IL36B	IL36B	NM_014438.5	NP_055253.2
IL36RN	IL36RN	NM_012275.3	NP_036407.1
IL1F10	IL1F10	NM_173161.3	NP_775184.1
IL1RN	IL1RN	NM_173842.3	NP_776214.1
PSD4	PSD4	NM_012455.3	NP_036587.2
PAX8	PAX8	NM_003466.4	NP_003457.1
ZNG1B	ZNG1B	NM_172003.3	NP_742000.1
FOXD4L1	FOXD4L1	NM_012184.5	NP_036316.1
RABL2A	RABL2A	NM_001306158.2	NP_001293087.1
SLC35F5	SLC35F5	NM_025181.5	NP_079457.2
ACTR3	ACTR3	NM_005721.5	NP_005712.1
DPP10	DPP10	NM_020868.6	NP_065919.3
DDX18	DDX18	NM_006773.4	NP_006764.3
CCDC93	CCDC93	NM_019044.5	NP_061917.3
INSIG2	INSIG2	NM_016133.4	NP_057217.2
EN1	EN1	NM_001426.4	NP_001417.3
MARCO	MARCO	NM_006770.4	NP_006761.1
C1QL2	C1QL2	NM_182528.4	NP_872334.2
STEAP3	STEAP3	NM_182915.3	NP_878919.2
C2orf76	C2orf76	NM_001322331.2	NP_001309260.1
DBI	DBI	NM_001079862.4	NP_001073331.1
TMEM37	TMEM37	NM_183240.3	NP_899063.2
SCTR	SCTR	NM_002980.3	NP_002971.2
CFAP221	CFAP221	NM_001271049.2	NP_001257978.2
TMEM177	TMEM177	NM_030577.3	NP_085054.2
PTPN4	PTPN4	NM_002830.4	NP_002821.1
EPB41L5	EPB41L5	NM_020909.4	NP_065960.2
TMEM185B	TMEM185B	NM_024121.3	NP_077026.2
RALB	RALB	NM_002881.3	NP_002872.1
INHBB	INHBB	NM_002193.4	NP_002184.2
GLI2	GLI2	NM_001374353.1	NP_001361282.1
TFCP2L1	TFCP2L1	NM_014553.3	NP_055368.1
CLASP1	CLASP1	NM_001395891.1	NP_001382820.1
NIFK	NIFK	NM_032390.5	NP_115766.3
TSN	TSN	NM_004622.3	NP_004613.1
CNTNAP5	CNTNAP5	NM_001367498.1	NP_001354427.1
GYPC	GYPC	NM_002101.5	NP_002092.1
TEX51	TEX51	NM_001322244.2	NP_001309173.1
BIN1	BIN1	NM_139343.3	NP_647593.1
CYP27C1	CYP27C1	NM_001367502.1	NP_001354431.1
ERCC3	ERCC3	NM_000122.2	NP_000113.1
MAP3K2	MAP3K2	NM_001371910.2	NP_001358839.1
PROC	PROC	NM_000312.4	NP_000303.1
IWS1	IWS1	NM_017969.3	NP_060439.2
MYO7B	MYO7B	NM_001393586.1	NP_001380515.1
LIMS2	LIMS2	NM_001161403.3	NP_001154875.1
GPR17	GPR17	NM_001161417.2	NP_001154889.1
WDR33	WDR33	NM_018383.5	NP_060853.3
SFT2D3	SFT2D3	NM_032740.4	NP_116129.3
POLR2D	POLR2D	NM_004805.4	NP_004796.1
AMMECR1L	AMMECR1L	NM_001199140.2	NP_001186069.1
SAP130	SAP130	NM_001330301.2	NP_001317230.1
UGGT1	UGGT1	NM_020120.4	NP_064505.1
HS6ST1	HS6ST1	NM_004807.3	NP_004798.3
RAB6C	RAB6C	NM_032144.3	NP_115520.2
POTEF	POTEF	NM_001099771.2	NP_001093241.1
CCDC74B	CCDC74B	NM_001258307.2	NP_001245236.1
SMPD4	SMPD4	NM_017951.5	NP_060421.3
MZT2B	MZT2B	NM_025029.5	NP_079305.2
TUBA3E	TUBA3E	NM_207312.3	NP_997195.2
CCDC115	CCDC115	NM_032357.4	NP_115733.2
IMP4	IMP4	NM_033416.3	NP_219484.1
PTPN18	PTPN18	NM_014369.4	NP_055184.2
POTEI	POTEI	NM_001277406.2	NP_001264335.1
CFC1B	CFC1B	NM_001079530.2	NP_001072998.1
CFC1	CFC1	NM_032545.4	NP_115934.1
POTEJ	POTEJ	NM_001277083.2	NP_001264012.1
GPR148	GPR148	NM_207364.2	NP_997247.2
AMER3	AMER3	NM_152698.3	NP_689911.2
ARHGEF4	ARHGEF4	NM_001367493.1	NP_001354422.1
FAM168B	FAM168B	NM_001009993.4	NP_001009993.2
PLEKHB2	PLEKHB2	NM_001100623.2	NP_001094093.1
POTEE	POTEE	NM_001083538.3	NP_001077007.1
RAB6D	RAB6D	NM_001077637.3	NP_001071105.1
MZT2A	MZT2A	NM_001085365.2	NP_001078834.1
TUBA3D	TUBA3D	NM_080386.4	NP_525125.2
CCDC74A	CCDC74A	NM_001258306.3	NP_001245235.1
ANKRD30BL	ANKRD30BL	NM_001358416.1	NP_001345345.1
GPR39	GPR39	NM_001508.3	NP_001499.1
LYPD1	LYPD1	NM_144586.7	NP_653187.3
NCKAP5	NCKAP5	NM_207363.3	NP_997246.2
MGAT5	MGAT5	NM_002410.5	NP_002401.1
TMEM163	TMEM163	NM_030923.5	NP_112185.1
ACMSD	ACMSD	NM_138326.3	NP_612199.2
CCNT2	CCNT2	NM_058241.3	NP_490595.1
MAP3K19	MAP3K19	NM_025052.5	NP_079328.3
RAB3GAP1	RAB3GAP1	NM_012233.3	NP_036365.1
ZRANB3	ZRANB3	NM_032143.4	NP_115519.2
R3HDM1	R3HDM1	NM_001378107.1	NP_001365036.1
UBXN4	UBXN4	NM_014607.4	NP_055422.1
LCT	LCT	NM_002299.4	NP_002290.2
MCM6	MCM6	NM_005915.6	NP_005906.2
DARS1	DARS1	NM_001349.4	NP_001340.2
CXCR4	CXCR4	NM_003467.3	NP_003458.1
THSD7B	THSD7B	NM_001316349.2	NP_001303278.1
HNMT	HNMT	NM_006895.3	NP_008826.1
SPOPL	SPOPL	NM_001001664.3	NP_001001664.1
NXPH2	NXPH2	NM_007226.3	NP_009157.1
LRP1B	LRP1B	NM_018557.3	NP_061027.2
KYNU	KYNU	NM_003937.3	NP_003928.1
ARHGAP15	ARHGAP15	NM_018460.4	NP_060930.3
GTDC1	GTDC1	NM_001376312.2	NP_001363241.1
ZEB2	ZEB2	NM_014795.4	NP_055610.1
ACVR2A	ACVR2A	NM_001616.5	NP_001607.1
ORC4	ORC4	NM_181741.4	NP_859525.1
MBD5	MBD5	NM_001378120.1	NP_001365049.1
EPC2	EPC2	NM_015630.4	NP_056445.3
KIF5C	KIF5C	NM_004522.3	NP_004513.1
LYPD6B	LYPD6B	NM_177964.5	NP_808879.2
LYPD6	LYPD6	NM_194317.5	NP_919298.1
MMADHC	MMADHC	NM_015702.3	NP_056517.1
RND3	RND3	NM_005168.5	NP_005159.1
RBM43	RBM43	NM_198557.3	NP_940959.1
NMI	NMI	NM_004688.3	NP_004679.2
TNFAIP6	TNFAIP6	NM_007115.4	NP_009046.2
RIF1	RIF1	NM_018151.5	NP_060621.3
NEB	NEB	NM_001164508.2	NP_001157980.2
NEB	NEB	NM_001164507.2	NP_001157979.2
ARL5A	ARL5A	NM_012097.4	NP_036229.1
CACNB4	CACNB4	NM_000726.5	NP_000717.2
STAM2	STAM2	NM_005843.6	NP_005834.4
FMNL2	FMNL2	NM_052905.4	NP_443137.2
PRPF40A	PRPF40A	NM_001365597.4	NP_001352526.1
ARL6IP6	ARL6IP6	NM_152522.7	NP_689735.1
RPRM	RPRM	NM_019845.3	NP_062819.1
GALNT13	GALNT13	NM_052917.4	NP_443149.2
KCNJ3	KCNJ3	NM_002239.4	NP_002230.1
NR4A2	NR4A2	NM_006186.4	NP_006177.1
GPD2	GPD2	NM_000408.5	NP_000399.3
GALNT5	GALNT5	NM_014568.3	NP_055383.1
ERMN	ERMN	NM_020711.3	NP_065762.1
CYTIP	CYTIP	NM_004288.5	NP_004279.3
ACVR1C	ACVR1C	NM_145259.3	NP_660302.2
ACVR1	ACVR1	NM_001111067.4	NP_001104537.1
UPP2	UPP2	NM_173355.4	NP_775491.1
CCDC148	CCDC148	NM_138803.4	NP_620158.3
PKP4	PKP4	NM_003628.6	NP_003619.2
DAPL1	DAPL1	NM_001017920.3	NP_001017920.2
TANC1	TANC1	NM_033394.3	NP_203752.2
WDSUB1	WDSUB1	NM_001128212.3	NP_001121684.1
BAZ2B	BAZ2B	NM_013450.4	NP_038478.2
MARCHF7	MARCHF7	NM_001282805.2	NP_001269734.1
CD302	CD302	NM_014880.5	NP_055695.2
LY75	LY75	NM_002349.4	NP_002340.2
PLA2R1	PLA2R1	NM_007366.5	NP_031392.3
ITGB6	ITGB6	NM_000888.5	NP_000879.2
RBMS1	RBMS1	NM_016836.4	NP_058520.1
TANK	TANK	NM_001199135.3	NP_001186064.1
PSMD14	PSMD14	NM_005805.6	NP_005796.1
TBR1	TBR1	NM_006593.4	NP_006584.1
SLC4A10	SLC4A10	NM_001178015.2	NP_001171486.1
DPP4	DPP4	NM_001935.4	NP_001926.2
GCG	GCG	NM_002054.5	NP_002045.1
FAP	FAP	NM_004460.5	NP_004451.2
IFIH1	IFIH1	NM_022168.4	NP_071451.2
GCA	GCA	NM_012198.5	NP_036330.1
KCNH7	KCNH7	NM_033272.4	NP_150375.2
FIGN	FIGN	NM_018086.4	NP_060556.2
GRB14	GRB14	NM_004490.3	NP_004481.2
COBLL1	COBLL1	NM_001365672.2	NP_001352601.1
SLC38A11	SLC38A11	NM_001351537.2	NP_001338466.1
SCN3A	SCN3A	NM_006922.4	NP_008853.3
SCN2A	SCN2A	NM_001371246.1	NP_001358175.1
SCN2A	SCN2A	NM_001040142.2	NP_001035232.1
CSRNP3	CSRNP3	NM_001172173.2	NP_001165644.1
GALNT3	GALNT3	NM_004482.4	NP_004473.2
TTC21B	TTC21B	NM_024753.5	NP_079029.3
SCN1A	SCN1A	NM_001165963.4	NP_001159435.1
SCN9A	SCN9A	NM_001365536.1	NP_001352465.1
